attrezzature,attrezzature_lingue,bagni,booking_link,camere,categoria,classificazione,comfort,denominazione_struttura,email,fax,first_word_number,geo_x,geo_y,id_struttura,info_indirizzo,latitude,letti,longitude,n_reviews,nome,posizione,provincia,pulizia,rapporto qualità prezzo,rating,servizi,staff,stato,tel,wifi gratuito,comune,Indirizzo,Cap,Località
,,1.0,https://www.booking.com/hotel/it/mansarda-corno-d-aola.it.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9wb250ZSBkaSBsZWdub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC7PeLpAbAAgHSAiQxNzVkZjU5Ny00MmZkLTQ4NmMtOTFhOC1lODg3ODAxMTFjNGXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=77&sr_order=popularity&srpvid=c31548362a3a0413&srepoch=1686305800&from=searchresults#hotelTmpl,2.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"8,5",mansarda angel's home,info@casaedesigntop.it,,False,0.0,0.0,643008100,,0.0,6.0,0.0,12 recensioni,mansarda corno d'aola,"7,7",BS,"9,8","7,5","8,5","7,9","9,0",Italia,364548020,,angolo terme,via san giovanni 19,25056.0,Anfurro
,,1.0,https://www.booking.com/hotel/it/bilocale-nocciolini.it.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF90ZW11SBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkwYukBsACAdICJDEyZTAzOWNkLTJhMmUtNDIxNS1hODE2LWJhODA3NGJmOGNlONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=3e1e3a925b2e0255&srepoch=1686298789&from=searchresults#hotelTmpl,1.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"8,8",appartamento nocciolini,info@archistudiotr.it,,False,0.0,0.0,257378198,,0.0,3.0,0.0,34 recensioni,chalet nocciolini,"9,0",BS,"9,2","8,1","8,7","8,8","8,7",Italia,340/3485206,,angolo terme,via traviolo,25050.0,
"Accettazione gruppi,Ascensore,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Giochi per bambini,Lavaggio e stiratura biancheria,Parcheggio custodito,Parco o giardino,Ristorante,Ristorante vegetariano,Sala lettura separata,Sala televisione separata,Salone di bellezza,Sauna privata,Trasporto clienti stazione","Inglese,Tedesco",42.0,https://www.booking.com/hotel/it/larice-bianco.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9ib3JtaW9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsHHi6QGwAIB0gIkMDQ3ZGQ3NTktMjk4Yy00ODRiLWIwNjctMGQ4NzI5YWYxZDUw2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=229&sr_order=popularity&srpvid=c2c53c20d2460146&srepoch=1686299647&from=searchresults#hotelTmpl,45.0,Alberghiere,Alberghi 3 stelle,"9,5",larice bianco,info@laricebianco.it,0342 904614,False,6.05467343834e+17,5.1465191152799904e+17,9742916,,5.14651911527999e+17,78.0,6.05467343834e+17,138 recensioni,hotel larice bianco,"9,6",SO,"9,7","8,6","9,2","9,3","9,8",Italia,0342 904693,"7,5",angolo terme,via funivia 10,23032.0,
"Parco o giardino,WI-FI in aree comuni",,5.0,https://www.booking.com/hotel/it/il-rifugio-del-risol.it.html?aid=304142&label=gen173nr-1FCAQoggJCH3NlYXJjaF9jYXN0aW9uZSBkZWxsYSBwcmVzb2xhbmFIFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AunFi6QGwAIB0gIkOTgzY2U5OTYtNGU2ZC00ZDhlLTljMGQtZGI5NWQ4YTdiY2Ji2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=54a23bb4e7840230&srepoch=1686299370&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,5.0,Complementari,Foresterie lombarde,"9,8",il rifugio del risol,dernezsrl@legalmail.it,,False,5.8255935533e+17,5.0849917093299904e+17,323778463,,5.08499170932999e+17,10.0,5.8255935533e+17,281 recensioni,il rifugio del risol,"9,7",BG,"9,8","9,4","9,6","9,7","9,8",Italia,0346 31420,"9,2",angolo terme,fraz. dorga - via foppi 1,24020.0,
"Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Bar,Parco o giardino,Ristorante,Sala televisione separata,Trasporto clienti stazione",,11.0,https://www.booking.com/hotel/it/italianway-san-pietro-8.it.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF92YWxkaXNvdHRvSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAK7qoukBsACAdICJGRkOTQxYWMxLWY2NjMtNGE1ZS04NTViLTA3ZWU3ZmZhNTI2ZtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=5f4c34dd0c7d0002&srepoch=1686295868&from=searchresults#hotelTmpl,11.0,Alberghiere,Alberghi 2 stelle,"9,5",san pietro,info@hotelsanpietrobormio.it,0342 919462,False,6.05469785122e+16,5.1457962188299904e+17,9753046,,5.14579621882999e+17,21.0,6.05469785122e+16,41 recensioni,italianway - san pietro 8,"9,1",SO,"9,4","9,0","9,3","9,3","9,3",Italia,0342 901759,10,angolo terme,san pietro,23030.0,
,,1.0,https://www.booking.com/hotel/it/casa-bagolino.it.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9iYWdvbGlub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCurSLpAbAAgHSAiQ3NDA0NjBlNi0yZTUyLTRlMTEtYjk5ZC04ZGE2NjY4YzU1MGLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2fd2375d389b02cc&srepoch=1686297148&from=searchresults#hotelTmpl,1.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),,casa bagolino,casabagolino@gmail.com,,False,0.0,0.0,577643865,,0.0,4.0,0.0,,casa bagolino,,BS,,,,,,Italia,,,angolo terme,via divisione tridentina 15,25072.0,
"Bar,Custodia valori in cassette sicurezza,Estintori,Pizzeria,Ristorante",Tedesco,1.0,https://www.booking.com/hotel/it/stella-alpina-schilpario.it.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zY2hpbHBhcmlvSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKiv4ukBsACAdICJDU4ZDcxNGM5LTg4NzktNDZmNy04YWM5LTJkMmJhZDZiMWFkM9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d62b3a11751c0149&srepoch=1686298531&from=searchresults#hotelTmpl,0.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"9,6",appartamento stella alpina,schilpariorelax@gmail.com,364548061,False,5.8950083839e+17,5.09566609999e+17,128933918,,5.09566609999e+17,6.0,5.8950083839e+17,43 recensioni,stella alpina,"9,7",BG,"9,8","9,3","9,2","9,6","9,7",Italia,334 2388481,"7,5",angolo terme,vicolo delle piazze 5,24020.0,
"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione gruppi,Ascensore,Autorimessa,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Giochi per bambini,Lavaggio e stiratura biancheria,Parcheggio non custodito,Parco o giardino,Pulizia calzature,Ristorante,Sala lettura separata,Sala televisione separata,Sauna privata,Servizi baby sitting,Servizio congressi,Trasporto clienti stazione","Francese,Inglese,Tedesco",61.0,https://www.booking.com/hotel/it/mirella-wood.it.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9wb250ZSBkaSBsZWdub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC7PeLpAbAAgHSAiQxNzVkZjU5Ny00MmZkLTQ4NmMtOTFhOC1lODg3ODAxMTFjNGXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=c31548362a3a0413&srepoch=1686305774&from=searchresults#hotelTmpl,61.0,Alberghiere,Alberghi 4 stelle,"9,4",mirella,hotelmirella@pontedilegno.it,364900530,False,6.15923045603999e+17,5.1238042242e+17,8283026,,5.1238042242e+17,146.0,6.15923045603999e+17,4 recensioni,appartamento mirella wood,"9,4",BS,"8,8","8,8","9,0","9,4","9,4",Italia,364900500,,san pellegrino terme,via roma 21,25056.0,G 1 - A1
"Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Bar,Parco o giardino,Ristorante,Sala televisione separata,Trasporto clienti stazione",,11.0,https://www.booking.com/hotel/it/albergo-ristorante-san-pietro.it.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF92YWxkaXNvdHRvSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAK7qoukBsACAdICJGRkOTQxYWMxLWY2NjMtNGE1ZS04NTViLTA3ZWU3ZmZhNTI2ZtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=5f4c34dd0c7d0002&srepoch=1686295868&from=searchresults#hotelTmpl,11.0,Alberghiere,Alberghi 2 stelle,"9,1",san pietro,info@hotelsanpietrobormio.it,0342 919462,False,6.05469785122e+16,5.1457962188299904e+17,9753046,,5.14579621882999e+17,21.0,6.05469785122e+16,63 recensioni,hotel ristorante san pietro,"9,0",SO,"9,5","9,1","8,6","9,0","9,5",Italia,0342 901759,"7,5",san pellegrino terme,san pietro,23030.0,
"Accesso a mezzi pubblici,Aria condizionata,Biciclette per ospiti,Parco o giardino,Posto auto,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana","Francese,Inglese",2.0,https://www.booking.com/hotel/it/b-amp-b-pescarenico.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9sZWNjb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC0riLpAbAAgHSAiRjMDg1YWFjNC02YzVmLTQzNjItYTE5Yi0xNTA2NjQxNWZlMTLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=bddc3869c98a003b&srepoch=1686297683&from=searchresults#hotelTmpl,2.0,Complementari,Bed & Breakfast,"9,7",b&b pescarenico,francesco.puccio@odcec.lecco.it,,False,5.311929e+17,5.0769361179999904e+17,9292455,,5.07693611799999e+17,5.0,5.311929e+17,157 recensioni,b&b pescarenico,"8,8",LC,"9,8","9,6","9,6","9,7","9,9",Italia,+39 0341 283670,"9,5",san pellegrino terme,via giovan battista vico 11,23900.0,PESCARENICO
,,1.0,https://www.booking.com/hotel/it/bilocale-enjoy.it.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF90ZW11SBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkwYukBsACAdICJDEyZTAzOWNkLTJhMmUtNDIxNS1hODE2LWJhODA3NGJmOGNlONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=3e1e3a925b2e0255&srepoch=1686298789&from=searchresults#hotelTmpl,1.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"9,2",bilocale enjoy,info@casaedesigntop.it,,False,0.0,0.0,348860324,,0.0,4.0,0.0,15 recensioni,bilocale enjoy,10,BS,"9,8","9,0","9,2","9,3","9,5",Italia,3899815354 034521868,10,san pellegrino terme,via saletti 48,25050.0,
,,3.0,https://www.booking.com/hotel/it/b-amp-b-monte-zucco.it.html?aid=304142&label=gen173nr-1FCAQoggJCG3NlYXJjaF9zYW4gcGVsbGVncmlubyB0ZXJtZUgUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC4ayLpAbAAgHSAiQ5NzlkNTE1Ni04MWZlLTQ5OTUtYjNhNS0wZmMzYjU0YmRmYjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=414f357089c80185&srepoch=1686296163&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3.0,Complementari,Bed & Breakfast,"9,5",b&b monte zucco,studioerredi@lamiapec.it,,False,5.51027292e+17,5.0759415039999904e+17,416587284,,5.07594150399999e+17,8.0,5.51027292e+17,343 recensioni,b&b monte zucco,"8,3",BG,"9,7","9,3","9,1","9,4","9,4",Italia,351 5055430,"8,6",san pellegrino terme,localita' frasnito 11,24016.0,
"Accesso a vetture private,Accettazione gruppi,Ascensore,Bar,Custodia valori in cassaforte,Parcheggio custodito,Parco o giardino,Ristorante,Sala lettura separata,Sala televisione separata,Servizio congressi,Trasporto clienti stazione","Francese,Inglese,Tedesco",49.0,https://www.booking.com/hotel/it/il-rifugio-del-risol.it.html?aid=304142&label=gen173nr-1FCAQoggJCH3NlYXJjaF9jYXN0aW9uZSBkZWxsYSBwcmVzb2xhbmFIFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AunFi6QGwAIB0gIkOTgzY2U5OTYtNGU2ZC00ZDhlLTljMGQtZGI5NWQ4YTdiY2Ji2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=54a23bb4e7840230&srepoch=1686299370&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,49.0,Complementari,Case ed appartamenti per vacanze gestiti in forma imprenditoriale,"9,8",il rifugio del risol casa vacanze,amministrazione@pec.deltadatisrl.it,0345/23463,False,5.51614655435999e+17,5.07649532411e+17,368791744,,5.07649532411e+17,93.0,5.51614655435999e+17,281 recensioni,il rifugio del risol,"9,7",BG,"9,8","9,4","9,6","9,7","9,8",Italia,0345/21058,"9,2",san pellegrino terme,fraz. dorga - via foppi 1,24020.0,
,,16.0,https://www.booking.com/hotel/it/casa-paola-valfurva.it.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF92YWxmdXJ2YUgUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCjMOLpAbAAgHSAiQzZTVlMGEyNS1iODM3LTQzOTYtYTAwNy02ZTM1MDUxNDRlY2TYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c0883b06c41d000e&srepoch=1686299021&from=searchresults#hotelTmpl,0.0,Complementari,Foresterie lombarde,"9,4",casa paola,info@casagpalazzolo.it,0345 23158,False,6.08958915644e+17,5.14627716315e+17,65499454,,5.14627716315e+17,4.0,6.08958915644e+17,203 recensioni,casa paola,"9,1",SO,"9,5","9,4","9,3","9,4","9,5",Italia,3478882691,"9,8",san pellegrino terme,via s. nicolã² 113,24016.0,
,,2.0,https://www.booking.com/hotel/it/il-cubo-di-anja.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9waXNvZ25lSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKDtYukBsACAdICJDQxNjMwZGFiLTMyZTUtNDE0OS05NjA5LTQxMjAxZDdlMzkzOdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=bddc37813cde0420&srepoch=1686297220&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"9,7",il cubo di anja,roberta@anja.bio,,False,0.0,0.0,642455402,,0.0,8.0,0.0,38 recensioni,il cubo di anja,10,BS,"9,9","9,4","9,7","9,5","9,9",Italia,334 8098228,10,san pellegrino terme,via renso' 95,25055.0,
"Accettazione gruppi,Ascensore,Bar,Parco o giardino,Ristorante,Sala televisione separata,Servizio congressi,Solarium,Trasporto clienti stazione","Francese,Inglese",1.0,https://www.booking.com/hotel/it/appartamento-pian-di-neve-temu1.it.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF90ZW11SBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkwYukBsACAdICJDEyZTAzOWNkLTJhMmUtNDIxNS1hODE2LWJhODA3NGJmOGNlONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=3e1e3a925b2e0255&srepoch=1686298800&from=searchresults#hotelTmpl,2.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),10,appartamento pian di neve,kruja.ardit@gmail.com,0345/23205,False,0.0,0.0,257378210,,0.0,4.0,0.0,5 recensioni,appartamento pian di neve,"9,0",BS,"9,0","9,5","8,4","8,0","8,5",Italia,0345/21194,,san pellegrino terme,via roma 84,25050.0,
"Parco o giardino,Posto auto",,4.0,https://www.booking.com/hotel/it/agriturismo-serec.it.html?aid=304142&label=gen173nr-1FCAQoggJCE3NlYXJjaF9hbmdvbG8gdGVybWVIFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsWsi6QGwAIB0gIkNWJjZDVkNzUtZDkzOC00ZjExLThiYmYtYzNhNDdjMTQ1YmVl2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=cfd935629a64009d&srepoch=1686296135&from=searchresults#hotelTmpl,4.0,Complementari,Alloggi Agrituristici,"9,7",serec,info@agriturismoserec.it,0345 21110,False,5.88513586765e+17,5.08260641982e+17,42887348,,5.08260641982e+17,8.0,5.88513586765e+17,27 recensioni,agriturismo serec,"9,0",BS,"9,9","9,1","9,4","9,7","9,8",Italia,3403881623,"7,5",san pellegrino terme,via serec,24016.0,
,,1.0,https://www.booking.com/hotel/it/casa-anna-giulia.it.html?aid=304142&label=gen173nr-1FCAQoggJCH3NlYXJjaF9jYXN0aW9uZSBkZWxsYSBwcmVzb2xhbmFIFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AunFi6QGwAIB0gIkOTgzY2U5OTYtNGU2ZC00ZDhlLTljMGQtZGI5NWQ4YTdiY2Ji2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=54a23bb4e7840230&srepoch=1686299370&from=searchresults#hotelTmpl,0.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"8,6",casa anna giulia,bsaccon73@gmail.com,,True,5.80316488999999e+17,5.084332666e+16,631676840,,5.084332666e+16,4.0,5.80316488999999e+17,14 recensioni,casa anna giulia,"8,9",BG,"8,8","8,0","8,0","8,2","8,9",Italia,3917464352,,san pellegrino terme,piazza cefalonia 1,24020.0,
,,1.0,https://www.booking.com/hotel/it/appartamento-pian-di-neve-temu.it.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF90ZW11SBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkwYukBsACAdICJDEyZTAzOWNkLTJhMmUtNDIxNS1hODE2LWJhODA3NGJmOGNlONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=3e1e3a925b2e0255&srepoch=1686298789&from=searchresults#hotelTmpl,2.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"9,1",appartamento pian di neve,kruja.ardit@gmail.com,,False,0.0,0.0,257378210,,0.0,4.0,0.0,19 recensioni,appartamento pian di neve,"9,1",BS,"9,2","8,2","8,9","8,8","9,2",Italia,340 3593545,,san pellegrino terme,via roma 84,25050.0,
,,1.0,https://www.booking.com/hotel/it/alla-stalla-suite-amp-chalet.it.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9waWF6emF0b3JyZUgUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC94KMpAbAAgHSAiRiZTUwYzQ5Yy02NmRhLTRkMDQtODRjNi0xOWQyN2IxZWRlMzDYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d6704afb594e00bf&srepoch=1686307193&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,0.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"9,6",alla stalla suite & chalet,studiocolombosrl@legalmail.it,,False,0.0,0.0,256645296,,0.0,4.0,0.0,20 recensioni,alla stalla suite & chalet,"8,8",BG,"9,6","8,3","9,3","9,5","9,6",Italia,0363 43156,,san pellegrino terme,via fenile 4,24010.0,
"Access. diversamente abili totale,Accettazione animali domestici,Accettazione gruppi,Ascensore,Autorimessa,Bagno turco,Bar,Custodia valori in cassaforte,Fitness/centro salute,Lavaggio e stiratura biancheria,Parco o giardino,Ristorante,Sala lettura separata,Sala televisione separata,Servizio congressi,Trasporto clienti stazione,WI-FI in aree comuni","Francese,Inglese",1.0,https://www.booking.com/hotel/it/san-pellegrino-solarium-apartment.it.html?aid=304142&label=gen173nr-1FCAQoggJCG3NlYXJjaF9zYW4gcGVsbGVncmlubyB0ZXJtZUgUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC4ayLpAbAAgHSAiQ5NzlkNTE1Ni04MWZlLTQ5OTUtYjNhNS0wZmMzYjU0YmRmYjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=414f357089c80185&srepoch=1686296163&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,0.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"9,9",san pellegrino solarium apartment,annagavazzi91@gmail.com,0345/20119,True,5.51893320999999e+17,5.075158337e+17,557312903,,5.075158337e+17,2.0,5.51893320999999e+17,37 recensioni,san pellegrino solarium apartment,"9,6",BG,"9,9","9,3","9,6","9,6","9,9",Italia,340 3593545,,san pellegrino terme,via de' medici 35,24016.0,A 1
"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Ascensore,Autorimessa,Bar,Custodia valori in cassaforte,Parcheggio non custodito,Parco o giardino,Ristorante,Sala lettura separata,Sala televisione separata,Tavernetta o tavola calda,Trasporto clienti stazione","Francese,Inglese,Tedesco",29.0,https://www.booking.com/hotel/it/giardino-breno.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9icmVub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC57SLpAbAAgHSAiRkZTFkYWJiYy0zYjNiLTQ5OGMtOWY0Yi0wMzlmYTYwNzUzZjHYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=75fd377349cc0289&srepoch=1686297192&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,29.0,Alberghiere,Alberghi 3 stelle,"8,3",giardino,info@hotelgiardinobreno.com,36421392,False,6.01054711939999e+16,5.09021332882e+16,8263692,,5.09021332882e+16,54.0,6.01054711939999e+16,750 recensioni,hotel giardino,"8,8",BS,"8,6","8,9","8,2","8,1","9,0",Italia,364321184,"8,4",san pellegrino terme,viale xxviii aprile 7,25043.0,
,,1.0,https://www.booking.com/hotel/it/grande-casa-di-famiglia.it.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF90ZW11SBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkwYukBsACAdICJDEyZTAzOWNkLTJhMmUtNDIxNS1hODE2LWJhODA3NGJmOGNlONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=3e1e3a925b2e0255&srepoch=1686298789&from=searchresults#hotelTmpl,3.0,Complementari,Case e appartamenti per vacanze (NON gestiti in forma imprenditoriale),"8,0",casa di famiglia,michele.marzegalli@gmail.com,,False,6.12768337928e+17,5.12282115313e+17,134737069,,5.12282115313e+17,7.0,6.12768337928e+17,21 recensioni,grande casa di famiglia,"9,0",BS,"7,6","8,7","8,1","7,7","8,9",Italia,351 5055430,,san pellegrino terme,via roma 123,25050.0,
"Access. diversamente abili totale,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Ascensore,Autorimessa,Bar,Custodia valori in cassette sicurezza,Parcheggio custodito,Parcheggio non custodito,Parco o giardino,Ristorante,Sala televisione separata","Francese,Inglese",1.0,https://www.booking.com/hotel/it/bilocale-presena.it.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9wb250ZSBkaSBsZWdub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC7PeLpAbAAgHSAiQxNzVkZjU5Ny00MmZkLTQ4NmMtOTFhOC1lODg3ODAxMTFjNGXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=94&sr_order=popularity&srpvid=c31548362a3a0413&srepoch=1686305800&from=searchresults#hotelTmpl,1.0,Complementari,Case ed appartamenti per vacanze gestiti in forma imprenditoriale,"8,0",bilocale sorgente,info@archistudiotr.it,0345/22381,False,6.16638837638e+17,5.12380861923e+16,175227039,,5.12380861923e+16,4.0,6.16638837638e+17,14 recensioni,bilocale presena,"9,8",BS,"8,2","8,4","8,0","8,4","8,9",Italia,340/3485206,,san pellegrino terme,viale venezia 25,25056.0,H 1
