titles,rating,price,comments,locations,CAP,city,lng,lat,reference,data_source,url,contact,type
Antica Trattoria Pizzo Tre Signori,4.5,fascia media,,Piazza Pizzo Tre Signori 2,23010.0,Gerola Alta,9.55022548,46.06002756,gerola alta,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1596429-d4224638-Reviews-Antica_Trattoria_Pizzo_Tre_Signori-Gerola_Alta_Province_of_Sondrio_Lombardy.html,+390342690025,
Osteria Trattoria Stella Alpina,4.5,cibo economico,,Via Fenile 1,23010.0,Gerola Alta,9.55022548,46.06002756,gerola alta,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1596429-d3403697-Reviews-Osteria_Trattoria_Stella_Alpina-Gerola_Alta_Province_of_Sondrio_Lombardy.html,+390342690041,
Albergo Ristorante Valle del Bitto,4.0,fascia media,,Via Nazionale 46,23010.0,Gerola Alta,9.55022548,46.06002756,gerola alta,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1596429-d7709977-Reviews-Albergo_Ristorante_Valle_Del_Bitto-Gerola_Alta_Province_of_Sondrio_Lombardy.html,+390342690004,
Antica Osteria del Ponte,5.0,fascia media,,Piazza Gaetano Negri 9 Si consiglia parcheggio via pace,20081.0,Cassinetta di Lugagnano,8.9068009,45.42212844,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2234234-d3595708-Reviews-Antica_Osteria_del_Ponte-Cassinetta_di_Lugagnano_Province_of_Milan_Lombardy.html,+39029420034,
Pizzeria Alta da Luca,4.5,cibo economico,,Via Papa Leone XIII 5,24124.0,Bergamo,9.66842453,45.69441368,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187830-d4025606-Reviews-Pizzeria_Alta_da_Luca-Bergamo_Province_of_Bergamo_Lombardy.html,+(39)35345310,
Bellinzona,4.0,fascia media,,Via Giuseppe Mazzini 15,27050.0,Casei Gerola,8.92707305,45.0063079,santa margherita di staffora,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1568279-d3604830-Reviews-Bellinzona-Casei_Gerola_Province_of_Pavia_Lombardy.html,+39038361525,
CaravanSerraglio,4.0,fascia media,,Via Per Voghera 3,27050.0,Casei Gerola,8.92707305,45.0063079,santa margherita di staffora,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1568279-d3237849-Reviews-CaravanSerraglio-Casei_Gerola_Province_of_Pavia_Lombardy.html,+390383381143,
L'Antico Borgo Ristorante Pizzeria,3.5,cibo economico,,Via Giuseppe Mazzini 75 Viale Principale,27050.0,Casei Gerola,8.92707305,45.0063079,santa margherita di staffora,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1568279-d7725159-Reviews-L_Antico_Borgo_Ristorante_Pizzeria-Casei_Gerola_Province_of_Pavia_Lombardy.html,+390383381065,
Bar Ristorante Il Piccolo Paese,5.0,cibo economico,,Via Nazionale 1319,23010.0,Pedesina,9.54952524,46.08222157,gerola alta,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g12875863-d12829963-Reviews-Bar_Ristorante_Il_Piccolo_Paese-Pedesina_Province_of_Sondrio_Lombardy.html,+390342690224,
Bosco Gerolo Valtrebbia,3.5,cibo economico,,Localita' Gerolo Niviano,29029.0,Rivergaro,9.597564,44.91070815,santa margherita di staffora,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1466745-d2479890-Reviews-Bosco_Gerolo_Valtrebbia-Rivergaro_Province_of_Piacenza_Emilia_Romagna.html,+390523951079,
Nessi Città Alta,4.0,cibo economico,,Via Gombito 34,24129.0,Bergamo,9.66842453,45.69441368,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187830-d2720565-Reviews-Pasticceria_Nessia_Citta_Alta-Bergamo_Province_of_Bergamo_Lombardy.html,+39035247073,
Il Circolino Città Alta,4.0,fascia media,,Vicolo Sant'Agata 19,24129.0,Bergamo,9.66842453,45.69441368,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187830-d1798985-Reviews-Il_Circolino_Citta_Alta-Bergamo_Province_of_Bergamo_Lombardy.html,+39035218568,
Nonna Elisa,4.5,fascia media,,Via San Giovanni Bosco 40/d,23010.0,Piantedo,9.43150447,46.13392594,margno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2290297-d3155614-Reviews-Nonna_Elisa-Piantedo_Province_of_Sondrio_Lombardy.html,+390342682046,
Trattoria Sant Ambroeus,4.0,fascia media,,Piazza Vecchia 2 Citta Alta,24129.0,Bergamo,9.66842453,45.69441368,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187830-d1108875-Reviews-Trattoria_Sant_Ambroeus_Bergamo_Alta-Bergamo_Province_of_Bergamo_Lombardy.html,+39035237494,
Polentone Citta Alta,4.5,cibo economico,,Piazza Mercato delle Scarpe 1 Città Alta,24129.0,Bergamo,9.66842453,45.69441368,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187830-d3732253-Reviews-Polentone_Citta_Alta-Bergamo_Province_of_Bergamo_Lombardy.html,+393488046021,
Malga Alta,3.5,fascia media,,Localita Fazzon Il luogo e raggiungibile tramite una strada a percorrenza limitata con permesso dal comune di Pellizzano o in situ all'arrivo o a piedi tramite sentiero dal lago dei cerbiatti in 45/60 minuti,38020.0,Pellizzano,10.7605651,46.30938639,ponte di legno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1787079-d12786439-Reviews-Malga_Alta-Pellizzano_Province_of_Trento_Trentino_Alto_Adige.html,+390463902292,
la birreria di città alta,3.5,fascia media,,via gombito 1/b,24129.0,Bergamo,9.66842453,45.69441368,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187830-d2437241-Reviews-La_Birreria_di_Citta_Alta-Bergamo_Province_of_Bergamo_Lombardy.html,+39035243661,
Alpin Lares,4.0,fascia media,,Località Pescegallo,23010.0,Gerola Alta,9.55022548,46.06002756,gerola alta,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1596429-d15687544-Reviews-Alpin_Lares-Gerola_Alta_Province_of_Sondrio_Lombardy.html,+393335415400,
Osteria Alta,4.0,fascia media,,Piazza Castelletto 21,20012.0,Cuggiono,8.82157381,45.50692962,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1480273-d3440918-Reviews-Osteria_Alta-Cuggiono_Province_of_Milan_Lombardy.html,+3902974151,
CRESTA ALTA BERGAMO,3.5,cibo economico,,Via Volfango Amedeo Mozart 16,24126.0,Bergamo,9.66842453,45.69441368,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187830-d11843894-Reviews-Cresta_Alta_Bergamo-Bergamo_Province_of_Bergamo_Lombardy.html,+393391144422,
Pineta,4.0,fascia media,,Via Piana di Fenile 5,23010.0,Gerola Alta,9.55022548,46.06002756,gerola alta,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1596429-d3648298-Reviews-Pineta-Gerola_Alta_Province_of_Sondrio_Lombardy.html,+390342690180,
Ristorante Pizzeria Miramonti,4.0,fascia media,,Piazza Garibaldi 1,46049.0,Volta Mantovana,10.65949338,45.31957585,bagolino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g794323-d3669112-Reviews-Bar_Ristorante_Pizzeria_Miramonti-Volta_Mantovana_Province_of_Mantua_Lombardy.html,+39037683496,
Il Luogo di Aimo e Nadia,4.5,cucina raffinata,,Via Privata Raimondo Montecuccoli 6,20147.0,Milano,9.1903474,45.46679408,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187849-d696596-Reviews-Il_Luogo_di_Aimo_e_Nadia-Milan_Lombardy.html,+3902416886,
Bar Trattoria Pesca Sportiva Lago Amici delle Gerole,5.0,fascia media,,Via Gerole 1,25010.0,Borgosatollo,10.23603582,45.47507645,pisogne,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g6580027-d17425584-Reviews-Bar_Trattoria_Pesca_Sportiva_Lago_Amici_delle_Gerole-Borgosatollo_Province_of_B.html,+393396534163,
Trattoria La Curt,4.5,fascia media,,Via Quattro Novembre 6,25040.0,Artogne,10.16452435,45.84832151,artogne,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2208908-d2386134-Reviews-Trattoria_La_Curt-Artogne_Province_of_Brescia_Lombardy.html,+390364590694,
Trattoria Beati,4.0,fascia media,,Via Venticinque Aprile 88,25040.0,Artogne,10.16452435,45.84832151,artogne,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2208908-d2203376-Reviews-Trattoria_Beati-Artogne_Province_of_Brescia_Lombardy.html,+390364591759,
Le Frise,4.5,fascia media,,Via Plagne 12,25040.0,Artogne,10.16452435,45.84832151,artogne,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2208908-d4339506-Reviews-Le_Frise-Artogne_Province_of_Brescia_Lombardy.html,+393471570422,
Ristorante Pizzeria La Fornace,4.0,fascia media,,Via XXV Aprile 11,25040.0,Artogne,10.16452435,45.84832151,artogne,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2208908-d13426665-Reviews-Ristorante_Pizzeria_La_Fornace-Artogne_Province_of_Brescia_Lombardy.html,+390364590707,
Buffalo Grill,4.0,fascia media,,Via Nazionale 4 bis,24060.0,Entratico,9.87476548,45.70548346,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2337596-d2545616-Reviews-Buffalo_Grill-Entratico_Province_of_Bergamo_Lombardy.html,+393389721210,
Ristorante Il Boccone,4.0,fascia media,,Via Plan di Montecampione 24 terza piazza del condominio Valgrande,25040.0,Artogne,10.16452435,45.84832151,artogne,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2208908-d5988591-Reviews-Ristorante_Il_Boccone-Artogne_Province_of_Brescia_Lombardy.html,+390364560440,
La Locanda dei Cantu,4.5,fascia media,,Piazza Vittorio Veneto 3,24010.0,Carona,9.78549341,46.02183878,carona,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1826735-d2512989-Reviews-La_Locanda_dei_Cantu-Carona_Province_of_Bergamo_Lombardy.html,+39034577044,
Il posto di Ste,4.5,fascia media,,Via Malpaga 20,38122.0,Trento,11.12123097,46.06893511,ponte di legno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187861-d16778605-Reviews-Il_posto_di_Ste-Trento_Province_of_Trento_Trentino_Alto_Adige.html,+390461437438,
Memo,3.5,cucina raffinata,,Viale Monte Ortigara 30,20137.0,Milano,9.1903474,45.46679408,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187849-d2470196-Reviews-Memo-Milan_Lombardy.html,+390254019856,
RISTORANTE PIZZERIA DA CECCA,4.0,cibo economico,,Via Spino Al Brembo 76,24019.0,Zogno,9.66791865,45.7948216,san pellegrino terme,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1131567-d2372916-Reviews-RISTORANTE_PIZZERIA_DA_CECCA-Zogno_Province_of_Bergamo_Lombardy.html,+39034594477,
Panini Durini,3.5,cibo economico,,Via Mercato 24,20121.0,Milano,9.1903474,45.46679408,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187849-d11838528-Reviews-Panini_Durini-Milan_Lombardy.html,+390289095343,
La Rotonda,3.5,fascia media,,Strada Borgosatollo 8,25016.0,Ghedi,10.27692536,45.40219778,collio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g3174691-d3835089-Reviews-La_Rotonda-Ghedi_Province_of_Brescia_Lombardy.html,+39030901836,
Vecchia Pavia,3.5,cibo economico,,Via Antonio Mantovani 3,27100.0,Pavia,9.16015719,45.18509264,santa margherita di staffora,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187850-d2409896-Reviews-Vecchia_Pavia-Pavia_Province_of_Pavia_Lombardy.html,+39038227178,
Sushiko Rubiera,3.5,fascia media,,Via Rocco Chinnici 1/D Parco Commerciale San Biagio,42048.0,Rubiera,10.78325846,44.65330024,santa margherita di staffora,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g651984-d11878383-Reviews-Sushiko_Rubiera-Rubiera_Province_of_Reggio_Emilia_Emilia_Romagna.html,+390522620409,
Le Colombare Ristorante Argentino,3.5,fascia media,,Via Castello San Felice 7 Parco delle Colombare,37128.0,Verona,10.99352685,45.43839046,bagolino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187871-d2290393-Reviews-Le_Colombare_Ristorante_Argentino-Verona_Province_of_Verona_Veneto.html,+39045914121,
RIFUGIO VODALA,4.0,fascia media,,Spiazzi Di Gromo Boario,24020.0,Gromo,9.92990165,45.97038555,gromo,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2088613-d3685513-Reviews-Rifugio_Vodala-Gromo_Province_of_Bergamo_Lombardy.html,+39034647079,
Il Piccolo Chalet,4.5,fascia media,,Via Magnolta Località Parade,23031.0,Aprica,10.15206343,46.15334799,aprica,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194672-d3842279-Reviews-Il_Piccolo_Chalet-Aprica_Province_of_Sondrio_Lombardy.html,+393335321603,
Ristorante Argentino Stambech,4.0,fascia media,,Corso Roma 77,23031.0,Aprica,10.15206343,46.15334799,aprica,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194672-d3379686-Reviews-Ristorante_Argentino_Stambech-Aprica_Province_of_Sondrio_Lombardy.html,+393429635492,
Bar Pizzeria Spuntineria Plona,4.0,fascia media,,Corso Roma 209,23031.0,Aprica,10.15206343,46.15334799,aprica,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194672-d2271926-Reviews-Bar_Pizzeria_Spuntineria_Plona-Aprica_Province_of_Sondrio_Lombardy.html,+380342745443,
La Maison Ristorante Pizzeria,4.0,fascia media,,Via Nazionale 560,23031.0,Aprica,10.15206343,46.15334799,aprica,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194672-d9607051-Reviews-La_Maison_Ristorante_Pizzeria-Aprica_Province_of_Sondrio_Lombardy.html,+390342745075,
Baita le Lische,4.0,fascia media,,Via Ospitale località lische,23031.0,Aprica,10.15206343,46.15334799,aprica,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194672-d2283668-Reviews-Baita_Le_Lische-Aprica_Province_of_Sondrio_Lombardy.html,+393409353098,
Osteria al Dosso,4.5,fascia media,,Via Dosso 1,23031.0,Aprica,10.15206343,46.15334799,aprica,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194672-d1804506-Reviews-Osteria_al_Dosso-Aprica_Province_of_Sondrio_Lombardy.html,+390342745029,
Pasticceria Tognolini,3.5,cibo economico,,Piazza Palabione,23031.0,Aprica,10.15206343,46.15334799,aprica,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194672-d4734507-Reviews-Pasticceria_Tognolini-Aprica_Province_of_Sondrio_Lombardy.html,+390342746234,
Gelart,4.0,cibo economico,,Corso Roma 188,23031.0,Aprica,10.15206343,46.15334799,aprica,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194672-d6739477-Reviews-Gelart-Aprica_Province_of_Sondrio_Lombardy.html,+393393634273,
Bistrot,4.0,fascia media,,Corso Roma 79,23031.0,Aprica,10.15206343,46.15334799,aprica,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194672-d8619445-Reviews-Bistrot-Aprica_Province_of_Sondrio_Lombardy.html,+393455127978,
Boomerang Cafè,3.5,cibo economico,,Corso Roma 97,23031.0,Aprica,10.15206343,46.15334799,aprica,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194672-d12854815-Reviews-Boomerang_Cafe-Aprica_Province_of_Sondrio_Lombardy.html,+390342746101,
Stofol,3.5,fascia media,,Piazzale Funivia 18,23031.0,Aprica,10.15206343,46.15334799,aprica,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194672-d8418672-Reviews-Stofol-Aprica_Province_of_Sondrio_Lombardy.html,+393334633768,
Torre,4.5,cibo economico,,Via Giuseppe Garibaldi 77,25040.0,Corteno Golgi,10.24224115,46.16596898,corteno golgi,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2277638-d4168832-Reviews-Torre-Corteno_Golgi_Province_of_Brescia_Lombardy.html,+390364740055,
Chalet Baradello Dal Brusca,4.0,fascia media,,Localita Piana Dei Galli Baradello,25040.0,Aprica,10.15206343,46.15334799,aprica,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194672-d3842190-Reviews-Chalet_Baradello_Dal_Brusca-Aprica_Province_of_Sondrio_Lombardy.html,+390342747391,
Bar Ca' Disi,3.5,fascia media,,Corso Roma 215,23031.0,Aprica,10.15206343,46.15334799,aprica,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194672-d12870285-Reviews-Bar_Ca_Disi-Aprica_Province_of_Sondrio_Lombardy.html,+393470406415,
Parco,4.0,cibo economico,,Via Nazionale 415,25040.0,Corteno Golgi,10.24224115,46.16596898,corteno golgi,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2277638-d3258492-Reviews-Parco-Corteno_Golgi_Province_of_Brescia_Lombardy.html,+39036474346,
Ristorante Abete,4.5,fascia media,,Via Valeriana 7,25040.0,Corteno Golgi,10.24224115,46.16596898,corteno golgi,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2277638-d4702698-Reviews-Ristorante_Abete-Corteno_Golgi_Province_of_Brescia_Lombardy.html,+390342746476,
Albergo Ristorante Staffora,4.5,fascia media,,Frazione Casanova Destra 29,27050.0,Santa Margherita di Staffora,9.24055817,44.77079137,santa margherita di staffora,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2550113-d4242046-Reviews-Albergo_Ristorante_Staffora-Santa_Margherita_di_Staffora_Province_of_Pavia_Lomba.html,+390383334547,
Osteria Santa Margherita,4.0,fascia media,,Via Santa Margherita 46,43036.0,Fidenza,10.0614143,44.86708803,santa margherita di staffora,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1069551-d2485760-Reviews-Osteria_Santa_Margherita-Fidenza_Province_of_Parma_Emilia_Romagna.html,+39052463100,
Break Point Panificio Valle Staffora,3.0,cibo economico,,Via Piacenza 56,27058.0,Voghera,9.00852362,44.99312509,santa margherita di staffora,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1180050-d7133630-Reviews-Break_Point_Panificio_Valle_Staffora-Voghera_Province_of_Pavia_Lombardy.html,+390383360898,
Vesuvio,3.5,fascia media,,Via Borgo Santa Caterina 96,24124.0,Bergamo,9.66842453,45.69441368,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187830-d2300137-Reviews-Vesuvio-Bergamo_Province_of_Bergamo_Lombardy.html,+39035219101,
Pasticceria Poggini,4.0,fascia media,,Via Cavalli 15,28857.0,Santa Maria Maggiore,8.4668702,46.13505436,margno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194905-d3972715-Reviews-Pasticceria_Poggini-Santa_Maria_Maggiore_Province_of_Verbano_Cusio_Ossola_Piedmon.html,+39032495129,
Caffe Pagani,4.0,cibo economico,,Piazza Risorgimento Piazza Risorgimento 16,28857.0,Santa Maria Maggiore,8.4668702,46.13505436,margno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194905-d4738573-Reviews-Caffe_Pagani-Santa_Maria_Maggiore_Province_of_Verbano_Cusio_Ossola_Piedmont.html,+393398821484,
Pizzeria Del Centro Snc Di Leonardi Tiziana & C,3.5,cibo economico,,Viale Papa Giovanni XXIII 41,24016.0,San Pellegrino Terme,9.66330535,45.83833313,san pellegrino terme,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194899-d7097353-Reviews-Pizzeria_Del_Centro_Snc_Di_Leonardi_Tiziana_C-San_Pellegrino_Terme_Province_of_Be.html,+39034521754,
Ristorante Le Colonne,4.0,fascia media,,Via Benefattori 7,28857.0,Santa Maria Maggiore,8.4668702,46.13505436,margno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194905-d2224981-Reviews-Ristorante_Le_Colonne-Santa_Maria_Maggiore_Province_of_Verbano_Cusio_Ossola_Piedm.html,+39032494893,
Ristorante Santa Lucia,3.5,fascia media,,Via Antonio Mascari 33,23900.0,Lecco,9.39339225,45.8557578,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187836-d948908-Reviews-Ristorante_Santa_Lucia-Lecco_Province_of_Lecco_Lombardy.html,+390341365036,
Ristorante Pizzeria da Franco,4.5,fascia media,,Via San Carlo 76,24016.0,San Pellegrino Terme,9.66330535,45.83833313,san pellegrino terme,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194899-d2401007-Reviews-Ristorante_Pizzeria_da_Franco-San_Pellegrino_Terme_Province_of_Bergamo_Lombardy.html,+39034522267,
LunaPiena Pizzeria d'asporto,4.5,cibo economico,,Strada Sant'Antonino 89/P Accanto al distributore di carburante.,36100.0,Vicenza,11.54597109,45.54749699,bagolino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187872-d3631561-Reviews-LunaPiena_Pizzeria_d_asporto-Vicenza_Province_of_Vicenza_Veneto.html,+3904441325952,
Santa Fè,4.0,fascia media,,Via torre 20 Solagna vi,36020.0,Solagna,11.71799623,45.81691835,bagolino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2052523-d2434957-Reviews-Santa_Fe-Solagna_Province_of_Vicenza_Veneto.html,+393357040333,
a Santa Lucia,3.0,fascia media,,Via San Pietro All'Orto 3,20121.0,Milano,9.1903474,45.46679408,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187849-d1074940-Reviews-A_Santa_Lucia-Milan_Lombardy.html,+390276023155,
Pizzeria Zei,4.0,cibo economico,,Via Carrobbio 8,21100.0,Varese,8.82286834,45.81701677,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194942-d3182898-Reviews-Pizzeria_Zei-Varese_Province_of_Varese_Lombardy.html,+390332289553,
Albergo ristorante Esposito,4.0,fascia media,,Via Francesca Manzoni 33,23816.0,Barzio,9.46834431,45.94646921,barzio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1582779-d3617090-Reviews-Albergo_ristorante_Esposito-Barzio_Province_of_Lecco_Lombardy.html,+390341996200,
Albergo Ristorante Vittoria,4.0,fascia media,,Via Roma 31,23816.0,Barzio,9.46834431,45.94646921,barzio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1582779-d2460069-Reviews-Albergo_Ristorante_Vittoria-Barzio_Province_of_Lecco_Lombardy.html,+390341996417,
bar sole e luna,4.5,cibo economico,,Via Martiri Patrioti Barziesi 34,23816.0,Barzio,9.46834431,45.94646921,barzio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1582779-d7046751-Reviews-Bar_sole_e_luna-Barzio_Province_of_Lecco_Lombardy.html,+390341918249,
Rifugio Buzzoni,4.5,cibo economico,,Alpe Mota - Valsassina - Prealpi Orobiche - Piani di Bobbio Piani di Bobbio,23815.0,Introbio,9.45180466,45.9763063,barzio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2697149-d4473797-Reviews-Rifugio_Buzzoni-Introbio_Province_of_Lecco_Lombardy.html,+393485827975,
Ristorante Trattoria Crotto ai Castagneti,4.5,fascia media,,Via Privata Castagneti 14,23818.0,Pasturo,9.44344209,45.95138347,barzio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g3346488-d2479438-Reviews-Crotto_ai_Castagneti-Pasturo_Province_of_Lecco_Lombardy.html,+390341919934,
Rifugio Antonietta,4.0,cibo economico,,Localita Pialeral SNC,23818.0,Pasturo,9.44344209,45.95138347,barzio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g3346488-d4760398-Reviews-Rifugio_Antonietta-Pasturo_Province_of_Lecco_Lombardy.html,+390341955462,
Agriturismo Cascina Coldognetta,4.5,fascia media,,Via Milano 49,23816.0,Barzio,9.46834431,45.94646921,barzio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1582779-d2216219-Reviews-Cascina_Coldognetta-Barzio_Province_of_Lecco_Lombardy.html,+393396042786,
Ristorante Don Rodrigo,4.5,fascia media,,Corso Emanuele Filiberto 112,23900.0,Lecco,9.39339225,45.8557578,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187836-d5860314-Reviews-Ristorante_Don_Rodrigo-Lecco_Province_of_Lecco_Lombardy.html,+393339428505,
Ristorante Pizzeria Belvedere,3.5,fascia media,,Via Dante Alighieri 40 Maggio fr. Cremeno,23814.0,Cremeno,9.47362557,45.93336923,moggio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2299515-d4082204-Reviews-Ristorante_Pizzeria_Belvedere-Cremeno_Province_of_Lecco_Lombardy.html,+393395340103,
Agriturismo Prato Buscante,3.5,cibo economico,,Via Fornace 5,23816.0,Barzio,9.46834431,45.94646921,barzio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1582779-d4569441-Reviews-Agriturismo_Prato_Buscante-Barzio_Province_of_Lecco_Lombardy.html,+390341998469,
Ristorante Bellano,3.5,fascia media,,Via Valsassina 5,23837.0,Taceno,9.36514327,46.02094716,margno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1930452-d4674795-Reviews-Ristorante_Bellano-Taceno_Province_of_Lecco_Lombardy.html,+390341880192,
Crotto Quartino - Milano -,4.5,fascia media,,Via Dionigi Bussola 9,20143.0,Milano,9.1903474,45.46679408,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187849-d24085453-Reviews-Crotto_Quartino_Milano-Milan_Lombardy.html,+393889031890,
Biscotti di Prosto di Simonetta del Curto,4.5,fascia media,,Via della Chiesa 3,23020.0,Piuro,9.4208521,46.32946842,piuro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2308726-d17339090-Reviews-Biscotti_Di_Prosto-Piuro_Province_of_Sondrio_Lombardy.html,+39034332733,
Rifugio Savogno,4.0,fascia media,,Via Nucleo Abitato di Savogno 1,23020.0,Piuro,9.4208521,46.32946842,piuro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2308726-d930245-Reviews-Rifugio_Savogno-Piuro_Province_of_Sondrio_Lombardy.html,+393667101665,
Ristorante Crotto Ghiggi,3.5,cibo economico,,Via Pian della Cà 31,23029.0,Villa di Chiavenna,9.48896973,46.33123766,piuro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g3346498-d3291957-Reviews-Ristorante_Crotto_Ghiggi-Villa_di_Chiavenna_Province_of_Sondrio_Lombardy.html,+393484567679,
Crotto Quartino - Valchiavenna -,4.5,fascia media,,Strada Comunale Dei Quartini 5,23020.0,Piuro,9.4208521,46.32946842,piuro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2308726-d2289743-Reviews-Crotto_Quartino_Valchiavenna-Piuro_Province_of_Sondrio_Lombardy.html,+393289274345,
Rifugio Baita del Capriolo,4.0,fascia media,,Val di Lei,23020.0,Piuro,9.4208521,46.32946842,piuro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2308726-d6818416-Reviews-Rifugio_Baita_del_Capriolo-Piuro_Province_of_Sondrio_Lombardy.html,+41816671136,
Crotto Ubiali del Povero Diavolo,4.5,fascia media,,Via Pratogiano 56,23022.0,Chiavenna,9.40548756,46.32102771,piuro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g674310-d4598452-Reviews-Crotto_Ubiali-Chiavenna_Province_of_Sondrio_Lombardy.html,+393456017912,
La Terrazza,4.0,fascia media,,Località Pianazzola 114,23022.0,Chiavenna,9.40548756,46.32102771,piuro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g674310-d15021638-Reviews-La_Terrazza-Chiavenna_Province_of_Sondrio_Lombardy.html,+393313827470,
