nome,booking_link,indirizzo,rating,n_reviews,staff,servizi,pulizia,comfort,rapporto qualità prezzo,posizione,wifi gratuito,comune,stato,CAP,first_word_number,info_indirizzo,località
Hotel Cima Piazzi,https://www.booking.com/hotel/it/cima-piazzi-valdidentro.it.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF92YWxkaWRlbnRyb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC9P6LpAbAAgHSAiQ0MjBkOGNlOC00OTJhLTRlZGItYjI3YS1mZmRjYjZjZjc2YTnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a2bb49faef6901c7&srepoch=1686306678&from=searchresults#hotelTmpl,via nazionale 39,"8,5",291 recensioni,"9,4","8,5","9,1","8,7","8,7","9,0","8,7",Valdidentro,Italia,23038.0,False,,
Ampio e grazioso trilocale con vista panoramica,https://www.booking.com/hotel/it/ampio-e-grazioso-trilocale-con-vista-panoramica.it.html?aid=304142&label=gen173nr-1FCAQoggJCG3NlYXJjaF9jaGllc2EgaW4gdmFsbWFsZW5jb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCrvyLpAbAAgHSAiRkM2U1ZGZhMC0wNThjLTQ2MzQtOWM5ZC0yMmY3NmRmNTk0MjnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=46&sr_order=popularity&srpvid=bb1b49576ad4010f&srepoch=1686306364&from=searchresults#hotelTmpl,Via Roma 31,"9,2",13 recensioni,"8,7","9,0","9,2","9,2","9,0","8,5",,Chiesa in Valmalenco,Italia,23023.0,True,, Primolo
Classy Villa in Pisogne with Garden BBQ Pool,https://www.booking.com/hotel/it/ronco-frati-6.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9waXNvZ25lSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKDtYukBsACAdICJDQxNjMwZGFiLTMyZTUtNDE0OS05NjA5LTQxMjAxZDdlMzkzOdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=popularity&srpvid=bddc37813cde0420&srepoch=1686297231&from=searchresults#hotelTmpl,,"8,8",5 recensioni,10,"9,0","9,0","9,0","8,0","7,5",,Pisogne,Italia,25055.0,False,,
Appartamenti Arcobaleno Verde,https://www.booking.com/hotel/it/appartamenti-arcobaleno-verde.it.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9saXZpZ25vSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKk0oukBsACAdICJGQ5OWQ0Yjk5LWI4ZDItNGIxZS1iMGRlLTIxMTU0M2U5NTA0NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=622&sr_order=popularity&srpvid=68053ef4348a039b&srepoch=1686301119&from=searchresults#hotelTmpl,via ostaria 110,"7,0",2 recensioni,"8,8","7,5","8,8","8,8","6,3","8,8",,Livigno,Italia,23030.0,False,,
Casa Genziana,https://www.booking.com/hotel/it/casa-genziana-barzio.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXJ6aW9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4As-3i6QGwAIB0gIkYTI5Mjk2YjYtNTc1NS00Y2E3LWE0N2ItMWI3OGI3ZDllYzI42AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=45543827ebf5027c&srepoch=1686297553&from=searchresults#hotelTmpl,via al piso snc,"8,7",19 recensioni,"9,6","8,8","8,9","9,0","8,0","9,5",,Barzio,Italia,23816.0,False,,
Locazione Turistica Casa Cinzia,https://www.booking.com/hotel/it/locazione-turistica-casa-cinzia.it.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF92YWxmdXJ2YUgUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCjMOLpAbAAgHSAiQzZTVlMGEyNS1iODM3LTQzOTYtYTAwNy02ZTM1MDUxNDRlY2TYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=popularity&srpvid=c0883b06c41d000e&srepoch=1686299032&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,"9,3",6 recensioni,10,"9,6","9,6","9,6","9,6","8,8",,Valfurva,Italia,23030.0,False,,
Mansarda corno d'aola,https://www.booking.com/hotel/it/mansarda-corno-d-aola.it.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9wb250ZSBkaSBsZWdub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC7PeLpAbAAgHSAiQxNzVkZjU5Ny00MmZkLTQ4NmMtOTFhOC1lODg3ODAxMTFjNGXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=77&sr_order=popularity&srpvid=c31548362a3a0413&srepoch=1686305800&from=searchresults#hotelTmpl,via san giovanni,"8,5",12 recensioni,"9,0","7,9","9,8","8,5","7,5","7,7",,Ponte di Legno,Italia,25056.0,False,,
Baita de Eliseo,https://www.booking.com/hotel/it/baita-de-eliseo.it.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF92YWxkaXNvdHRvSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAK7qoukBsACAdICJGRkOTQxYWMxLWY2NjMtNGE1ZS04NTViLTA3ZWU3ZmZhNTI2ZtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=5f4c34dd0c7d0002&srepoch=1686295868&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,via dosso 5/b,"9,2",120 recensioni,"9,9","9,5","9,8","9,6","9,1","9,0","9,2",Valdisotto,Italia,23030.0,False,,
Fior di Roccia - Valmalenco,https://www.booking.com/hotel/it/fior-di-roccia-valmalenco.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9sYW56YWRhSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL7wIukBsACAdICJGQ4ZjdiYzhkLTY0ZjgtNGEwMC04YTYxLTI0ZmYwNWUzZmYzYdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b4103a7d2f040293&srepoch=1686298748&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,"9,1",51 recensioni,"9,8","9,2","9,8","9,5","9,1","9,0",,Lanzada,Italia,23020.0,False,, franscia 2
Appartamento Alle Terrazze,https://www.booking.com/hotel/it/comodo-appartamento-a-ponte-di-legno-vicino-agli-impianti-di-risalita-e-al-paese.it.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9wb250ZSBkaSBsZWdub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC7PeLpAbAAgHSAiQxNzVkZjU5Ny00MmZkLTQ4NmMtOTFhOC1lODg3ODAxMTFjNGXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=95&sr_order=popularity&srpvid=c31548362a3a0413&srepoch=1686305800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Via degli Alpini 17,"9,3",3 recensioni,"9,2","9,2","9,2","8,3","7,5","9,2",,Ponte di Legno,Italia,25056.0,True,2 floor,
Casa Aceri Rossi,https://www.booking.com/hotel/it/casa-aceri-rossi.it.html?aid=304142&label=gen173nr-1FCAQoggJCG3NlYXJjaF9jaGllc2EgaW4gdmFsbWFsZW5jb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCrvyLpAbAAgHSAiRkM2U1ZGZhMC0wNThjLTQ2MzQtOWM5ZC0yMmY3NmRmNTk0MjnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=popularity&srpvid=bb1b49576ad4010f&srepoch=1686306364&from=searchresults#hotelTmpl,Via Funivia 2 15,"8,6",14 recensioni,"8,4","8,9","8,4","9,3","7,5","8,8",,Chiesa in Valmalenco,Italia,23023.0,True,,
Casa Viola,https://www.booking.com/hotel/it/casa-viola-valdidentro.it.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF92YWxkaWRlbnRyb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC9P6LpAbAAgHSAiQ0MjBkOGNlOC00OTJhLTRlZGItYjI3YS1mZmRjYjZjZjc2YTnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=a2bb49faef6901c7&srepoch=1686306678&from=searchresults#hotelTmpl,piazza iv novembre 16,"9,0",123 recensioni,"9,5","9,2","9,4","9,3","9,1","9,3","8,8",Valdidentro,Italia,23038.0,False,,
Al ponte vecchio,https://www.booking.com/hotel/it/al-ponte-vecchio.it.html?aid=304142&label=gen173nr-1FCAQoggJCG3NlYXJjaF9zYW4gcGVsbGVncmlubyB0ZXJtZUgUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC4ayLpAbAAgHSAiQ5NzlkNTE1Ni04MWZlLTQ5OTUtYjNhNS0wZmMzYjU0YmRmYjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=414f357089c80185&srepoch=1686296163&from=searchresults#hotelTmpl,via san carlo 51,"8,5",133 recensioni,"8,7","8,4","8,7","8,7","8,6","9,4","8,4",San Pellegrino Terme,Italia,24016.0,False,,
Luxury Villa Barzio,https://www.booking.com/hotel/it/luxury-villa-barzio.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXJ6aW9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4As-3i6QGwAIB0gIkYTI5Mjk2YjYtNTc1NS00Y2E3LWE0N2ItMWI3OGI3ZDllYzI42AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=45543827ebf5027c&srepoch=1686297553&from=searchresults#hotelTmpl,Via Privata Papa Giovanni XXIII 5,,5 recensioni esterne,,,,,,,,Barzio,Italia,23816.0,True,,
Presolana Home,https://www.booking.com/hotel/it/presolana-home.it.html?aid=304142&label=gen173nr-1FCAQoggJCH3NlYXJjaF9jYXN0aW9uZSBkZWxsYSBwcmVzb2xhbmFIFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AunFi6QGwAIB0gIkOTgzY2U5OTYtNGU2ZC00ZDhlLTljMGQtZGI5NWQ4YTdiY2Ji2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=54a23bb4e7840230&srepoch=1686299370&from=searchresults#hotelTmpl,Via Agro 7,"8,2",5 recensioni,"8,5","7,0",10,"9,5","8,0","8,0",,Castione della Presolana,Italia,24020.0,True,,
Hotel Total,https://www.booking.com/hotel/it/total-pisogne.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9waXNvZ25lSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKDtYukBsACAdICJDQxNjMwZGFiLTMyZTUtNDE0OS05NjA5LTQxMjAxZDdlMzkzOdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=bddc37813cde0420&srepoch=1686297220&from=searchresults#hotelTmpl,via trento 14,"5,7",92 recensioni,"7,3","5,5","6,1","5,9","6,6","7,2","6,4",Pisogne,Italia,25055.0,False,,
Antica Dogana,https://www.booking.com/hotel/it/antica-dogana-pisogne123.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9waXNvZ25lSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKDtYukBsACAdICJDQxNjMwZGFiLTMyZTUtNDE0OS05NjA5LTQxMjAxZDdlMzkzOdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=bddc37813cde0420&srepoch=1686297220&from=searchresults#hotelTmpl,via papa paolo vi 2a,"9,6",222 recensioni,"9,9","9,8","9,7","9,7","9,6","9,5","9,3",Pisogne,Italia,25055.0,False,,
Alpin Sky,https://www.booking.com/hotel/it/alpin-sky.it.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF90ZW11SBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkwYukBsACAdICJDEyZTAzOWNkLTJhMmUtNDIxNS1hODE2LWJhODA3NGJmOGNlONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=3e1e3a925b2e0255&srepoch=1686298789&from=searchresults#hotelTmpl,via roma 64,"9,1",22 recensioni,"8,6","8,9","9,2","9,3","8,6","9,1",10,Temù,Italia,25050.0,False,,
Appartamento Pian di neve,https://www.booking.com/hotel/it/appartamento-pian-di-neve-temu1.it.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF90ZW11SBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkwYukBsACAdICJDEyZTAzOWNkLTJhMmUtNDIxNS1hODE2LWJhODA3NGJmOGNlONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=3e1e3a925b2e0255&srepoch=1686298800&from=searchresults#hotelTmpl,via roma,"8,4",5 recensioni,"8,5","8,0","9,0",10,"9,5","9,0",,Temù,Italia,25056.0,False,,
Chrys b&b,https://www.booking.com/hotel/it/chrys-b-amp-b.it.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF92YWxmdXJ2YUgUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCjMOLpAbAAgHSAiQzZTVlMGEyNS1iODM3LTQzOTYtYTAwNy02ZTM1MDUxNDRlY2TYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c0883b06c41d000e&srepoch=1686299021&from=searchresults#hotelTmpl,via san nicolò 66a,"9,5",338 recensioni,"9,8","9,6","9,9","9,9","9,1","9,0","9,1",Valfurva,Italia,23030.0,False,,
Locazione Turistica La Casa del Giova,https://www.booking.com/hotel/it/locazione-turistica-la-casa-del-giova.it.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF90ZW11SBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkwYukBsACAdICJDEyZTAzOWNkLTJhMmUtNDIxNS1hODE2LWJhODA3NGJmOGNlONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=3e1e3a925b2e0255&srepoch=1686298789&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,,,,,,,,,,Temù,Italia,23021.0,False,,
bilocale presena,https://www.booking.com/hotel/it/bilocale-presena.it.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9wb250ZSBkaSBsZWdub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC7PeLpAbAAgHSAiQxNzVkZjU5Ny00MmZkLTQ4NmMtOTFhOC1lODg3ODAxMTFjNGXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=94&sr_order=popularity&srpvid=c31548362a3a0413&srepoch=1686305800&from=searchresults#hotelTmpl,viale venezia,"8,0",14 recensioni,"8,9","8,4","8,2","8,0","8,4","9,8",,Ponte di Legno,Italia,25056.0,False,,
Appartamento Valeria,https://www.booking.com/hotel/it/appartamento-valeria-ponte-di-legno.it.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9wb250ZSBkaSBsZWdub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC7PeLpAbAAgHSAiQxNzVkZjU5Ny00MmZkLTQ4NmMtOTFhOC1lODg3ODAxMTFjNGXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=84&sr_order=popularity&srpvid=c31548362a3a0413&srepoch=1686305800&from=searchresults#hotelTmpl,Viale Venezia 33,"8,5",15 recensioni,"8,7","8,7","9,2","9,0","8,2","8,8",,Ponte di Legno,Italia,25056.0,True,,
Casa Prabellino,https://www.booking.com/hotel/it/casa-prebellino.it.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9jYXNwb2dnaW9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4ArfEi6QGwAIB0gIkM2YwMmNkNjctYmZiYi00YzIzLTljMGYtOWYyNDk5NWMyMjA52AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c3703b5b6e80004b&srepoch=1686299192&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,"9,1",21 recensioni,"9,9","9,3","9,8","9,3","8,8","9,4",,Caspoggio,Italia,23010.0,False,, prebello
Fancy apartment with huge terrace,https://www.booking.com/hotel/it/fancy-apartment-with-huge-terrace-barzio.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXJ6aW9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4As-3i6QGwAIB0gIkYTI5Mjk2YjYtNTc1NS00Y2E3LWE0N2ItMWI3OGI3ZDllYzI42AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=45543827ebf5027c&srepoch=1686297553&from=searchresults#hotelTmpl,Via Bergamini 14,10,1 recensione,10,10,10,"7,5","7,5",10,,Barzio,Italia,23816.0,True,,
Residence Larice Bianco App n6,https://www.booking.com/hotel/it/residence-larice-bianco-app-n6.it.html?aid=304142&label=gen173nr-1FCAQoggJCE3NlYXJjaF9jYW1wb2RvbGNpbm9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtG_i6QGwAIB0gIkMDA5NmM1YzktOWZiMy00MmY2LTljMjMtYTljZjYxZDEzNjVl2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=popularity&srpvid=44673a28ca3b0198&srepoch=1686298589&from=searchresults#hotelTmpl,via delle soste 35,,,,,,,,,,Campodolcino,Italia,23021.0,False,,
Snowboard in Valmalenco,https://www.booking.com/hotel/it/snowboard-in-valmalenco.it.html?aid=304142&label=gen173nr-1FCAQoggJCG3NlYXJjaF9jaGllc2EgaW4gdmFsbWFsZW5jb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCrvyLpAbAAgHSAiRkM2U1ZGZhMC0wNThjLTQ2MzQtOWM5ZC0yMmY3NmRmNTk0MjnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=popularity&srpvid=bb1b49576ad4010f&srepoch=1686306364&from=searchresults#hotelTmpl,via nicolò rusca 42,"9,2",5 recensioni,10,"9,5",10,"9,0","9,0",10,,Chiesa in Valmalenco,Italia,23023.0,False,,
Cà Nosent,https://www.booking.com/hotel/it/ca-nosent.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9waXNvZ25lSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKDtYukBsACAdICJDQxNjMwZGFiLTMyZTUtNDE0OS05NjA5LTQxMjAxZDdlMzkzOdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=bddc37813cde0420&srepoch=1686297220&from=searchresults#hotelTmpl,via don aldo trivulzi 1,"9,5",17 recensioni,"9,7","9,0","9,9","9,7","9,0","8,8",,Pisogne,Italia,25055.0,False,,
B&B Le Ciaf,https://www.booking.com/hotel/it/b-amp-b-le-ciaf.it.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF90ZW11SBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkwYukBsACAdICJDEyZTAzOWNkLTJhMmUtNDIxNS1hODE2LWJhODA3NGJmOGNlONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=3e1e3a925b2e0255&srepoch=1686298789&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,via roma 83,"9,2",95 recensioni,"9,6","9,3","9,7","9,4","8,8","9,0",10,Temù,Italia,25050.0,False,,
Ca' Nei Ronchi Bregaglia,https://www.booking.com/hotel/it/ca-39-nei-ronchi-bregaglia.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9waXVyb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC4K-LpAbAAgHSAiQ4ZTllODRmOS02ODFhLTRkMmQtOWM4YS02OTk5ZTQzZWNmYjPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=3475362f2294020c&srepoch=1686296545&from=searchresults#hotelTmpl,via nazionale 76,"9,3",129 recensioni,"9,6","9,5","9,7","9,4","9,3","9,3","9,3",Piuro,Italia,23020.0,False,,
Nice home in Bagolino with 1 Bedrooms and WiFi,https://www.booking.com/hotel/it/amazing-home-in-bagolino-with-1-bedrooms.it.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9iYWdvbGlub0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gCurSLpAbAAgHSAiQ3NDA0NjBlNi0yZTUyLTRlMTEtYjk5ZC04ZGE2NjY4YzU1MGLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2fd2375d389b02cc&srepoch=1686297148&from=searchresults#hotelTmpl,,,,,,,,,,,Bagolino,Italia,25070.0,False,,
hortus conclus,https://www.booking.com/hotel/it/cantina-del-piocc.it.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9waXVyb0gUWARocYgBAZgBFLgBF8gBDNgBAegBAfgBA4gCAagCA7gC4K-LpAbAAgHSAiQ4ZTllODRmOS02ODFhLTRkMmQtOWM4YS02OTk5ZTQzZWNmYjPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=3475362f2294020c&srepoch=1686296545&from=searchresults#hotelTmpl,Via Nazionale 61,"9,0",40 recensioni,"9,6","9,4","9,7","9,6","9,4","7,6","7,5",Piuro,Italia,23020.0,True,,
Pergolato alpino p.terra,https://www.booking.com/hotel/it/pergolato-alpino-pterra.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90ZWdsaW9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsWui6QGwAIB0gIkZDQ3MzQ0NGQtYTg4Ny00Mjc5LTkwYmItNDJhY2RjZmI0Njg22AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=303b35e251a40183&srepoch=1686296390&from=searchresults#hotelTmpl,via san silvestro snc,"8,2",10 recensioni,"9,3","8,3","9,0","8,5","8,0","8,8",,Teglio,Italia,23036.0,False,,
Albergo Ristorante Scanapà,https://www.booking.com/hotel/it/albergo-ristorante-scanapa.it.html?aid=304142&label=gen173nr-1FCAQoggJCH3NlYXJjaF9jYXN0aW9uZSBkZWxsYSBwcmVzb2xhbmFIFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AunFi6QGwAIB0gIkOTgzY2U5OTYtNGU2ZC00ZDhlLTljMGQtZGI5NWQ4YTdiY2Ji2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=54a23bb4e7840230&srepoch=1686299370&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,via cantoniera 16,"8,7",147 recensioni,"9,6","8,9","9,3","9,0","8,9","8,8","7,9",Castione della Presolana,Italia,24020.0,False,,
Bait dal Cucù Appartamento Ables,https://www.booking.com/hotel/it/bait-dal-cucu-appartamento-ables.it.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9saXZpZ25vSBRYBGhxiAEBmAEUuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKk0oukBsACAdICJGQ5OWQ0Yjk5LWI4ZDItNGIxZS1iMGRlLTIxMTU0M2U5NTA0NdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=92013ed296980064&srepoch=1686300966&from=searchresults#hotelTmpl,via florin 530/a,,,,,,,,,,Livigno,Italia,23030.0,False,,
Spacious apartment near wonderful trekking paths,https://www.booking.com/hotel/it/large-apartment-in-barzio-with-an-amazing-view.it.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXJ6aW9IFFgEaHGIAQGYARS4ARfIAQzYAQHoAQH4AQOIAgGoAgO4As-3i6QGwAIB0gIkYTI5Mjk2YjYtNTc1NS00Y2E3LWE0N2ItMWI3OGI3ZDllYzI42AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=45543827ebf5027c&srepoch=1686297553&from=searchresults#hotelTmpl,Via Milano 52,"8,9",7 recensioni,"9,6","8,2","8,6","8,6","9,3","9,6",,Barzio,Italia,23816.0,True,,
